impid,aid,name
3080,Bobby Moynihan,Brian Kilmeade
3584,Aidy Bryant,Wynonna Judd
3639,Taran Killam,David Beckham
3532,Kate McKinnon,Maggie Smith
3637,Bobby Moynihan,George Lucas
2951,Jay Pharoah,Chris Tucker
3638,Jon Rudnitsky,John Mayer
3640,Kate McKinnon,Ed Sheeran
3634,Leslie Jones,Sonya Carson
3627,Taran Killam,Martin O'Malley
3630,Beck Bennett,Enrique Peña Nieto
3475,Jay Pharoah,Drake
3632,Kenan Thompson,Toots Hibbert
3623,Alec Baldwin,Jim Webb
3626,Kyle Mooney,Lincoln Chafee
3625,Jon Rudnitsky,Anderson Cooper
3629,Taran Killam,Owen Wilson
3628,Kyle Mooney,Chuck Norris
3260,Bobby Moynihan,Steven Seagal
3622,Pete Davidson,Jason Chaffetz
3612,Vanessa Bayer,Rachel Dolezal
3605,Aidy Bryant,Kim Davis
3609,Michael Che,Meek Mill
3611,Taran Killam,Walter Palmer
3608,Kate McKinnon,Martin Shkreli
3459,Kyle Mooney,Pope Francis
3606,Bobby Moynihan,Jared Fogel
3607,Bobby Moynihan,Josh Duggar
3610,Sasheer Zamata,Lenny Kravitz
3613,Miley Cyrus,Roxane Gilmore
3614,Beck Bennett,Jim Gilmore
3618,Taran Killam,Rick Santorum
3617,Kate McKinnon,Janet Huckabee
3615,Bobby Moynihan,Mike Huckabee
3616,Cecily Strong,Karen Santorum
3619,Cecily Strong,Huma Abedin
3620,Miley Cyrus,Hayley Mills
3547,Taran Killam,Tom Brady
3597,Beck Bennett,Mike Huckabee
3299,Taran Killam,Marco Rubio
3598,Kate McKinnon,Carly Fiorina
3565,Bobby Moynihan,Ted Cruz
3601,Cecily Strong,Rosie Perez
3602,Kenan Thompson,Reginald VelJohnson
3587,Aidy Bryant,Manny Pacquiao
3590,Taran Killam,Michael Buffer
3588,Jay Pharoah,Floyd Mayweather
3589,Kenan Thompson,Kenny Bayless
3591,Kate McKinnon,Hozier
3592,Scarlett Johansson,Amber Theoharis
3596,Vanessa Bayer,Donna Hamilton
3595,Taran Killam,Jim Palmer
3593,Jay Pharoah,Manny Machado
3594,Kenan Thompson,Frank Robinson
3577,Taraji P. Henson,Nicki Minaj
3581,Pete Davidson,Ninja
3580,Leslie Jones,Missy Elliott
3582,Taran Killam,Jim Parsons
3579,Kate McKinnon,Yolandi Visser
3578,Jay Pharoah,Kendrick Lamar
3385,Kenan Thompson,Rick Ross
3436,Sasheer Zamata,Rihanna
3583,Taraji P. Henson,Wanda Sykes
3570,Taran Killam,Vin Diesel
3341,Kate McKinnon,Jane Lynch
3586,Jay Pharoah,Common
3573,Beck Bennett,Ernie Johnson Jr.
3574,Taran Killam,Mike Krzyzewski
3174,Jay Pharoah,Kenny Smith
3576,Jay Pharoah,Don Lemon
3349,Taran Killam,John Boehner
3566,Kyle Mooney,Tom Cotton
3480,Sasheer Zamata,Michelle Obama
3568,Jay Pharoah,Ludacris
3569,Jay Pharoah,"Tyrese Gibson , Flower"
3567,Cecily Strong,"Michelle Rodriguez , Faline"
3572,Kate McKinnon,Robert Durst
3486,Kenan Thompson,"Terrence Howard , Lucious"
3561,Sasheer Zamata,"Taraji P. Henson , Cookie"
3563,Kate McKinnon,Iggy Azalea
3562,Jay Pharoah,T.I.
3564,Sasheer Zamata,Azealia Banks
3558,Dakota Johnson,Caroline Giuliani
3082,Vanessa Bayer,Gretchen Carlson
3559,Taran Killam,Rudy Giuliani
2992,Jay Pharoah,Kanye West
3560,Taran Killam,Vinton Cerf
3556,Taran Killam,Pete Carroll
3554,Jay Pharoah,Richard Sherman
3555,Kenan Thompson,Marshawn Lynch
3546,Beck Bennett,Bill Belichick
