sid,eid,tid,title,titleType
9,1,1983100813,Rent-a-Gun,Sketch
9,1,1983100812,"""Pink Houses""",Musical Performance
9,1,1983100816,Be There,Commercial
9,1,1983100811,,Saturday Night News
9,1,1983100815,"""Crumblin' Down""",Musical Performance
9,1,1983100810,Larry's Corner,Show
9,1,198310089,Man On The Street,Miscellaneous
9,1,1983100814,Review,Miscellaneous
9,1,198310087,Show Ideas,Sketch
9,1,198310086,Feln's Discount Food And Clothing Warehouse,Commercial
9,1,198310084,James Watt,Sketch
9,1,198310083,Calvin Klein Cream Pies,Commercial
9,1,198310082,,Monologue
9,1,198310081,Brandon's Office,Cold Opening
9,1,198310088,Gumby & Pokey,Sketch
9,1,198310085,Jazz Riffs,Show
10,17,1985041314,,Goodnights
10,14,1985021616,,Goodnights
10,13,1985020915,,Goodnights
10,16,1985040612,,Goodnights
11,2,1985111618,,Goodnights
10,12,1985020216,,Goodnights
11,1,1985110915,,Goodnights
10,15,1985033016,,Goodnights
10,11,1985011914,,Goodnights
10,9,1984121515,Killing Time,Miscellaneous
10,7,1984120117,,Goodnights
10,10,1985011216,,Goodnights
10,6,1984111715,,Goodnights
10,9,1984121516,,Goodnights
10,5,1984111017,,Goodnights
10,4,1984110317,SNL Fashion Report,Miscellaneous
10,4,1984110316,"""This Is My Night""",Musical Performance
10,4,1984110314,,Saturday Night News
10,4,1984110313,Rabbi,Sketch
10,4,1984110315,Mondale Headquarters,Sketch
10,4,1984110312,"""I Feel for You""",Musical Performance
10,4,1984110318,,Goodnights
10,3,1984102018,,Goodnights
10,3,1984102017,"""Tell Me Again""",Musical Performance
10,3,1984102016,Rainbow Coalition,Miscellaneous
10,3,1984102015,Fashion Report,Miscellaneous
10,3,1984102014,Rich Hall's Election Report,Miscellaneous
10,3,1984102013,Jeane Kirkpatrick,Miscellaneous
10,3,1984102012,"""Right Now""",Musical Performance
10,3,1984102011,,Saturday Night News
10,3,198410209,"Wrong Voice, Right Face",Commercial
10,3,1984102010,Funny Black People,Miscellaneous
10,3,198410208,Tippi Turtle,Cartoon
10,3,198410206,Just Kidding,Sketch
10,3,198410207,First Class,Sketch
10,3,198410204,The Question Is Moot!,Game Show
10,3,198410203,Elevator,Sketch
10,3,198410205,Refrigerator Magnet Safety Advisory Board,Commercial
10,3,198410202,,Monologue
10,4,198411038,Buddy Young Jr. Is Back!,Commercial
10,4,198411037,"""Old Joe's Place""",Musical Performance
10,3,198410201,Advice,Cold Opening
10,4,1984110310,Madonna Navel Accessories,Commercial
10,4,198411036,The Folksmen,Film
10,4,198411035,Fernando's Hideaway,Show
10,4,198411039,First Draft Theater,Sketch
10,4,198411034,Baby Double,Commercial
10,4,198411033,Young Christians For Reagan,Commercial
10,4,198411032,,Monologue
10,4,198411031,Gerry And The Mon-Dells,Cold Opening
10,5,1984111016,"""Born to Run""",Musical Performance
10,5,1984111015,Not a Cop,Sketch
